project;class;from;to;metric
Jext;com.microstar.xml.XmlParser;List;Map;0.69
Jext;com.microstar.xml.XmlParser;List;Set;0.75
Jext;com.microstar.xml.XmlParser;Map;List;0.55
Jext;com.microstar.xml.XmlParser;Map;Set;1.0
Jext;gnu.regexp.RE;List;Map;0.0
Jext;gnu.regexp.RE;List;Set;0.0
Jext;gnu.regexp.RETokenOneOf;List;Map;0.0
Jext;gnu.regexp.RETokenOneOf;List;Set;0.0
Jext;gnu.regexp.RETokenRepeated;List;Map;0.0
Jext;gnu.regexp.RETokenRepeated;List;Set;0.0
Jext;java.lang.Object;List;Map;0.61
Jext;java.lang.Object;List;Set;0.0
Jext;java.lang.Object;Map;List;0.61
Jext;java.lang.Object;Map;Set;0.62
Jext;org.gjt.sp.jedit.syntax.ASPTokenMarker;List;Map;1.0
Jext;org.gjt.sp.jedit.syntax.ASPTokenMarker;List;Set;1.0
Jext;org.gjt.sp.jedit.textarea.DefaultInputHandler;Map;List;0.41
Jext;org.gjt.sp.jedit.textarea.DefaultInputHandler;Map;Set;0.77
Jext;org.gjt.sp.jedit.textarea.InputHandler;Map;List;0.0
Jext;org.gjt.sp.jedit.textarea.InputHandler;Map;Set;1.0
Jext;org.gjt.sp.jedit.textarea.TextAreaHighlight;Map;List;1.0
Jext;org.gjt.sp.jedit.textarea.TextAreaHighlight;Map;Set;1.0
Jext;org.gjt.sp.jedit.textarea.TextUtilities;List;Map;0.39
Jext;org.gjt.sp.jedit.textarea.TextUtilities;List;Set;0.6
Jext;org.jext.GUIUtilities;Map;List;0.55
Jext;org.jext.GUIUtilities;Map;Set;1.0
Jext;org.jext.JARClassLoader;List;Map;0.39
Jext;org.jext.JARClassLoader;List;Set;0.6
Jext;org.jext.Jext;List;Map;0.66
Jext;org.jext.Jext;List;Set;0.6
Jext;org.jext.Jext;Map;List;0.41
Jext;org.jext.Jext;Map;Set;0.77
Jext;org.jext.JextFrame.DnDHandler;List;Map;1.0
Jext;org.jext.JextFrame.DnDHandler;List;Set;0.0
Jext;org.jext.JextFrame.ModeHandler;List;Map;0.0
Jext;org.jext.JextFrame.ModeHandler;List;Set;0.85
Jext;org.jext.JextFrame.PluginHandler;List;Map;0.0
Jext;org.jext.JextFrame.PluginHandler;List;Set;0.85
Jext;org.jext.JextFrame;List;Map;0.52
Jext;org.jext.JextFrame;List;Set;0.6
Jext;org.jext.JextFrame;Map;List;0.78
Jext;org.jext.JextFrame;Map;Set;1.0
Jext;org.jext.JextLoader;List;Map;0.0
Jext;org.jext.JextLoader;List;Set;0.85
Jext;org.jext.JextTabbedPane;Map;List;0.41
Jext;org.jext.JextTabbedPane;Map;Set;0.77
Jext;org.jext.JextTextArea;List;Map;0.0
Jext;org.jext.JextTextArea;List;Set;0.85
Jext;org.jext.Mode;List;Map;1.0
Jext;org.jext.Mode;List;Set;0.0
Jext;org.jext.Utilities;List;Map;0.97
Jext;org.jext.Utilities;List;Set;0.0
Jext;org.jext.actions.CompleteWord;Set;List;0.43
Jext;org.jext.actions.CompleteWord;Set;Map;0.98
Jext;org.jext.actions.CompleteWordAll;Set;List;0.43
Jext;org.jext.actions.CompleteWordAll;Set;Map;0.98
Jext;org.jext.actions.CreateTemplate;Map;List;0.78
Jext;org.jext.actions.CreateTemplate;Map;Set;1.0
Jext;org.jext.actions.CreateTemplate;Set;List;0.0
Jext;org.jext.actions.CreateTemplate;Set;Map;1.0
Jext;org.jext.console.ConsoleListDir;Map;List;1.0
Jext;org.jext.console.ConsoleListDir;Map;Set;1.0
Jext;org.jext.console.ConsoleTextPane.DnDHandler;List;Map;1.0
Jext;org.jext.console.ConsoleTextPane.DnDHandler;List;Set;0.0
Jext;org.jext.console.HistoryModel;List;Map;0.6
Jext;org.jext.console.HistoryModel;List;Set;0.75
Jext;org.jext.console.commands.ChangeDirCommand;Map;List;1.0
Jext;org.jext.console.commands.ChangeDirCommand;Map;Set;1.0
Jext;org.jext.console.commands.HomeCommand;Map;List;1.0
Jext;org.jext.console.commands.HomeCommand;Map;Set;1.0
Jext;org.jext.dawn.DawnParser;List;Map;0.83
Jext;org.jext.dawn.DawnParser;List;Set;0.69
Jext;org.jext.dawn.DawnParser;Map;List;0.59
Jext;org.jext.dawn.DawnParser;Map;Set;0.83
Jext;org.jext.dawn.Function;Map;List;0.55
Jext;org.jext.dawn.Function;Map;Set;1.0
Jext;org.jext.dawn.array.LengthFunction;List;Map;0.0
Jext;org.jext.dawn.array.LengthFunction;List;Set;0.0
Jext;org.jext.dawn.loop.ForFunction;Map;List;0.41
Jext;org.jext.dawn.loop.ForFunction;Map;Set;0.77
Jext;org.jext.dawn.stack.DepthFunction;List;Map;0.0
Jext;org.jext.dawn.stack.DepthFunction;List;Set;0.0
Jext;org.jext.dawn.stack.DupnFunction;List;Map;0.58
Jext;org.jext.dawn.stack.DupnFunction;List;Set;0.75
Jext;org.jext.dawn.stack.PickFunction;List;Map;0.58
Jext;org.jext.dawn.stack.PickFunction;List;Set;0.75
Jext;org.jext.dawn.stack.ReverseFunction;List;Map;0.0
Jext;org.jext.dawn.stack.ReverseFunction;List;Set;0.0
Jext;org.jext.dawn.stack.RollDownFunction;List;Map;0.0
Jext;org.jext.dawn.stack.RollDownFunction;List;Set;0.0
Jext;org.jext.dawn.stack.RollFunction;List;Map;0.0
Jext;org.jext.dawn.stack.RollFunction;List;Set;0.0
Jext;org.jext.dawn.util.HelpFunction;Map;List;0.0
Jext;org.jext.dawn.util.HelpFunction;Map;Set;0.0
Jext;org.jext.gui.BundledSkinFactory;List;Map;1.0
Jext;org.jext.gui.BundledSkinFactory;List;Set;0.0
Jext;org.jext.gui.FontSelector;List;Map;0.0
Jext;org.jext.gui.FontSelector;List;Set;0.0
Jext;org.jext.gui.OptionGroup;List;Map;0.57
Jext;org.jext.gui.OptionGroup;List;Set;0.69
Jext;org.jext.gui.SkinManager;Map;List;0.55
Jext;org.jext.gui.SkinManager;Map;Set;1.0
Jext;org.jext.gui.SplashScreen;List;Map;0.0
Jext;org.jext.gui.SplashScreen;List;Set;0.0
Jext;org.jext.menus.JextMenuBar;Map;List;0.72
Jext;org.jext.menus.JextMenuBar;Map;Set;1.0
Jext;org.jext.misc.AboutPlugins;List;Map;0.0
Jext;org.jext.misc.AboutPlugins;List;Set;0.85
Jext;org.jext.misc.FindAccessory.FindTabs;List;Map;0.0
Jext;org.jext.misc.FindAccessory.FindTabs;List;Set;0.0
Jext;org.jext.misc.SaveDialog;List;Map;0.66
Jext;org.jext.misc.SaveDialog;List;Set;0.6
Jext;org.jext.misc.VersionCheck;List;Map;0.0
Jext;org.jext.misc.VersionCheck;List;Set;1.0
Jext;org.jext.misc.VirtualFolders.DnDHandler;List;Map;1.0
Jext;org.jext.misc.VirtualFolders.DnDHandler;List;Set;0.0
Jext;org.jext.misc.VirtualFolders;List;Map;0.0
Jext;org.jext.misc.VirtualFolders;List;Set;0.85
Jext;org.jext.misc.Workspaces.DnDHandler;List;Map;1.0
Jext;org.jext.misc.Workspaces.DnDHandler;List;Set;0.0
Jext;org.jext.misc.Workspaces.WorkspaceElement;List;Map;0.0
Jext;org.jext.misc.Workspaces.WorkspaceElement;List;Set;0.0
Jext;org.jext.misc.Workspaces.WorkspacesHandler;List;Map;0.0
Jext;org.jext.misc.Workspaces.WorkspacesHandler;List;Set;0.0
Jext;org.jext.misc.Workspaces;List;Map;0.49
Jext;org.jext.misc.Workspaces;List;Set;0.69
Jext;org.jext.misc.ZipExplorer.ZipTableModel;List;Map;0.39
Jext;org.jext.misc.ZipExplorer.ZipTableModel;List;Set;0.6
Jext;org.jext.options.ColorTable.ColorTableModel;List;Map;0.39
Jext;org.jext.options.ColorTable.ColorTableModel;List;Set;0.6
Jext;org.jext.options.ColorTable.ColorTableModel;Map;List;1.0
Jext;org.jext.options.ColorTable.ColorTableModel;Map;Set;1.0
Jext;org.jext.options.ColorTable.ColorTableModel;Set;List;0.0
Jext;org.jext.options.ColorTable.ColorTableModel;Set;Map;1.0
Jext;org.jext.options.EditorOptions;List;Map;0.0
Jext;org.jext.options.EditorOptions;List;Set;0.85
Jext;org.jext.options.FileFiltersOptions.FiltersTableModel;List;Map;0.39
Jext;org.jext.options.FileFiltersOptions.FiltersTableModel;List;Set;0.6
Jext;org.jext.options.FileFiltersOptions;List;Map;0.0
Jext;org.jext.options.FileFiltersOptions;List;Set;0.85
Jext;org.jext.options.KeyShortcutsOptions;Map;List;0.0
Jext;org.jext.options.KeyShortcutsOptions;Map;Set;0.62
Jext;org.jext.options.OptionsDialog;List;Map;0.66
Jext;org.jext.options.OptionsDialog;List;Set;0.6
Jext;org.jext.options.StyleTable.StyleTableModel;List;Map;0.39
Jext;org.jext.options.StyleTable.StyleTableModel;List;Set;0.6
Jext;org.jext.options.StyleTable.StyleTableModel;Map;List;1.0
Jext;org.jext.options.StyleTable.StyleTableModel;Map;Set;1.0
Jext;org.jext.options.StyleTable.StyleTableModel;Set;List;0.0
Jext;org.jext.options.StyleTable.StyleTableModel;Set;Map;1.0
Jext;org.jext.options.UIOptions;List;Map;0.0
Jext;org.jext.options.UIOptions;List;Set;0.85
Jext;org.jext.options.UIOptions;Map;List;0.93
Jext;org.jext.options.UIOptions;Map;Set;0.92
Jext;org.jext.print.PrintText;List;Map;0.39
Jext;org.jext.print.PrintText;List;Set;0.6
Jext;org.jext.project.AbstractProject;Map;List;0.55
Jext;org.jext.project.AbstractProject;Map;Set;1.0
Jext;org.jext.project.AbstractProjectManager;List;Map;0.8
Jext;org.jext.project.AbstractProjectManager;List;Set;0.0
Jext;org.jext.project.DefaultProjectManager.DefaultProject;List;Map;0.66
Jext;org.jext.project.DefaultProjectManager.DefaultProject;List;Set;0.6
Jext;org.jext.project.DefaultProjectManager;List;Map;0.77
Jext;org.jext.project.DefaultProjectManager;List;Set;0.69
Jext;org.jext.project.DefaultProjectManager;Map;List;0.41
Jext;org.jext.project.DefaultProjectManager;Map;Set;0.77
Jext;org.jext.scripting.python.Run;List;Map;1.0
Jext;org.jext.scripting.python.Run;List;Set;0.0
Jext;org.jext.search.FindAllDialog;List;Map;1.0
Jext;org.jext.search.FindAllDialog;List;Set;0.0
Jext;org.jext.search.SearchHighlight;List;Map;0.0
Jext;org.jext.search.SearchHighlight;List;Set;0.85
Jext;org.jext.toolbar.FastSyntax;List;Map;0.0
Jext;org.jext.toolbar.FastSyntax;List;Set;1.0
Jext;org.jext.toolbar.JextToolBar;List;Map;0.0
Jext;org.jext.toolbar.JextToolBar;List;Set;0.85
Jext;org.jext.xinsert.XTree;List;Map;0.71
Jext;org.jext.xinsert.XTree;List;Set;0.9
Jext;org.jext.xml.XBarHandler;List;Map;1.0
Jext;org.jext.xml.XBarHandler;List;Set;1.0
Jext;org.jext.xml.XInsertHandler;List;Map;1.0
Jext;org.jext.xml.XInsertHandler;List;Set;1.0
Jext;org.jext.xml.XMenuHandler;List;Map;1.0
Jext;org.jext.xml.XMenuHandler;List;Set;1.0
Jext;org.jext.xml.XPopupHandler;List;Map;1.0
Jext;org.jext.xml.XPopupHandler;List;Set;1.0
Jext;org.jext.xml.XPropertiesHandler;Map;List;1.0
Jext;org.jext.xml.XPropertiesHandler;Map;Set;1.0
